;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
27;To All the Boys: P.S. I Still Love You;To All the Boys: P.S. I Still Love You;2020;101;Comedy,Drama,Romance;6.0;35510.0;TRUE;nm3170207;Noah Centineo;1996;nm7093076;Lana Condor;1997;23;24;1;(20.0, 25.0];(20.0, 25.0]
33;After We Collided;After We Collided;2020;105;Drama,Romance;5.2;27423.0;TRUE;nm2842005;Hero Fiennes Tiffin;1997;nm6466214;Josephine Langford;1997;23;23;0;(20.0, 25.0];(20.0, 25.0]
35;Chemical Hearts;Chemical Hearts;2020;93;Drama,Romance;6.3;11504.0;TRUE;nm3641002;Austin Abrams;1996;nm3929887;Lili Reinhart;1996;24;24;0;(20.0, 25.0];(20.0, 25.0]
34;Operation Christmas Drop;Operation Christmas Drop;2020;95;Comedy,Family,Romance;5.8;11150.0;TRUE;nm1573253;Alexander Ludwig;1992;nm0334159;Kat Graham;1989;31;28;-3;(25.0, 30.0];(30.0, 35.0]
36;Spontaneous;Spontaneous;2020;101;Comedy,Horror,Romance;6.5;11110.0;TRUE;nm4055138;Charlie Plummer;1999;nm7692698;Katherine Langford;1996;24;21;-3;(20.0, 25.0];(20.0, 25.0]
38;Love, Guaranteed;Love, Guaranteed;2020;90;Comedy,Romance;5.6;16488.0;TRUE;nm0915458;Damon Wayans Jr.;1982;nm0000337;Rachael Leigh Cook;1979;41;38;-3;(35.0, 40.0];(40.0, 45.0]
39;Love Wedding Repeat;Love Wedding Repeat;2020;100;Comedy,Romance;5.5;19698.0;TRUE;nm3510471;Sam Claflin;1986;nm1601397;Olivia Munn;1980;40;34;-6;(30.0, 35.0];(35.0, 40.0]
22;Coolie No. 1;Coolie No. 1;2020;134;Action,Comedy,Romance;4.2;72757.0;TRUE;nm3315894;Varun Dhawan;1987;nm9071083;Sara Ali Khan;1995;;33;;(30.0, 35.0];
28;The Half of It;The Half of It;2020;104;Comedy,Drama,Romance;6.9;33987.0;TRUE;nm8159701;Daniel Diemer;1996;nm2301427;Alexxis Lemire;1996;24;;;;(20.0, 25.0]
52;Kabir Singh;Kabir Singh;2019;173;Action,Drama,Romance;7.1;30346.0;TRUE;nm1372788;Shahid Kapoor;1981;nm6442009;Kiara Advani;1992;27;38;11;(35.0, 40.0];(25.0, 30.0]
58;A Hidden Life;A Hidden Life;2019;174;Biography,Drama,Romance;7.4;22439.0;TRUE;nm0225944;August Diehl;1976;nm5638960;Valerie Pachner;1987;32;43;11;(40.0, 45.0];(30.0, 35.0]
44;Always Be My Maybe;Always Be My Maybe;2019;101;Comedy,Romance;6.8;52691.0;TRUE;nm1320827;Randall Park;1974;nm4399227;Ali Wong;1982;37;45;8;(40.0, 45.0];(35.0, 40.0]
59;Gully Boy;Gully Boy;2019;154;Drama,Music,Romance;7.9;36754.0;TRUE;nm3828984;Ranveer Singh;1985;nm1017633;Alia Bhatt;1993;26;34;8;(30.0, 35.0];(25.0, 30.0]
43;Five Feet Apart;Five Feet Apart;2019;116;Drama,Romance;7.2;58372.0;TRUE;nm0819850;Cole Sprouse;1992;nm4726634;Haley Lu Richardson;1995;24;27;3;(25.0, 30.0];(20.0, 25.0]
49;A Rainy Day in New York;A Rainy Day in New York;2019;92;Comedy,Romance;6.5;39978.0;TRUE;nm3154303;Timothée Chalamet;1995;nm1102577;Elle Fanning;1998;21;24;3;(20.0, 25.0];(20.0, 25.0]
40;Marriage Story;Marriage Story;2019;137;Comedy,Drama,Romance;7.9;284040.0;TRUE;nm3485845;Adam Driver;1983;nm0424060;Scarlett Johansson;1984;35;36;1;(35.0, 40.0];(30.0, 35.0]
48;Chhichhore;Chhichhore;2019;143;Comedy,Drama,Romance;8.3;46900.0;TRUE;nm3818286;Sushant Singh Rajput;1986;nm3601766;Shraddha Kapoor;1987;32;33;1;(30.0, 35.0];(30.0, 35.0]
46;After;After;2019;105;Drama,Romance;5.3;49122.0;TRUE;nm2842005;Hero Fiennes Tiffin;1997;nm6466214;Josephine Langford;1997;22;22;0;(20.0, 25.0];(20.0, 25.0]
50;Tolkien;Tolkien;2019;112;Biography,Drama,Romance;6.8;38005.0;TRUE;nm0396558;Nicholas Hoult;1989;nm2934314;Lily Collins;1989;30;30;0;(25.0, 30.0];(25.0, 30.0]
57;Waves;Waves;2019;135;Drama,Romance,Sport;7.6;22516.0;TRUE;nm5123156;Kelvin Harrison Jr.;1994;nm5347988;Taylor Russell;1994;25;25;0;(20.0, 25.0];(20.0, 25.0]
51;The Perfect Date;The Perfect Date;2019;89;Comedy,Romance;5.8;37095.0;TRUE;nm3170207;Noah Centineo;1996;nm1404824;Laura Marano;1995;24;23;-1;(20.0, 25.0];(20.0, 25.0]
53;Queen & Slim;Queen & Slim;2019;132;Crime,Drama,Romance;7.1;29652.0;TRUE;nm2257207;Daniel Kaluuya;1989;nm3853652;Jodie Turner-Smith;1986;33;30;-3;(25.0, 30.0];(30.0, 35.0]
42;Long Shot;Long Shot;2019;125;Comedy,Romance;6.8;105882.0;TRUE;nm0736622;Seth Rogen;1982;nm0000234;Charlize Theron;1975;44;37;-7;(35.0, 40.0];(40.0, 45.0]
55;What Men Want;What Men Want;2019;117;Comedy,Fantasy,Romance;5.4;27240.0;TRUE;nm3091777;Aldis Hodge;1986;nm0378245;Taraji P. Henson;1970;49;35;-14;(30.0, 35.0];(45.0, 50.0]
45;Downton Abbey;Downton Abbey;2019;122;Drama,Romance;7.4;49388.0;TRUE;nm1304386;Brendan Coyle;1962;nm0630149;Joanne Froggatt;1980;66;40;-26;(35.0, 40.0];(65.0, 81.0]
41;Little Women;Little Women;2019;135;Drama,Romance;7.8;180158.0;TRUE;;Timothee Chalamet;1995;;Florence Pugh;1996;;;;;
54;The Art of Racing in the Rain;The Art of Racing in the Rain;2019;109;Comedy,Drama,Romance;7.6;28956.0;TRUE;nm0000126;Milo Ventimiglia;1977;nm4467076;Amanda Seyfried;1985;;64;;(60.0, 65.0];
56;Jexi;Jexi;2019;84;Comedy,Romance,Sci-Fi;6.1;24687.0;TRUE;nm2796745;Adam Devine;1983;nm3381295;Alexandra Shipp;1991;;36;;(35.0, 40.0];
71;The Guernsey Literary and Potato Peel Pie Society;The Guernsey Literary and Potato Peel Pie Society;2018;124;Drama,Romance,War;7.4;42929.0;TRUE;nm0183822;Michiel Huisman;1981;nm3726887;Lily James;1989;29;81;52;(65.0, 81.0];(25.0, 30.0]
79;Overboard;Overboard;2018;112;Comedy,Romance;6.0;37225.0;TRUE;nm0220240;Eugenio Derbez;1962;nm0267506;Anna Faris;1976;42;56;14;(55.0, 60.0];(40.0, 45.0]
68;A Star Is Born;A Star Is Born;2018;136;Drama,Music,Romance;7.6;364631.0;TRUE;nm0177896;Bradley Cooper;1975;nm3078932;Lady Gaga;1986;32;43;11;(40.0, 45.0];(30.0, 35.0]
78;The Titan;The Titan;2018;97;Drama,Mystery,Romance;4.8;30477.0;TRUE;nm0941777;Sam Worthington;1976;nm2279940;Taylor Schilling;1984;34;42;8;(40.0, 45.0];(30.0, 35.0]
63;Fifty Shades Freed;Fifty Shades Freed;2018;105;Drama,Romance,Thriller;4.5;62020.0;TRUE;nm1946193;Jamie Dornan;1982;nm0424848;Dakota Johnson;1989;29;36;7;(35.0, 40.0];(25.0, 30.0]
75;Destination Wedding;Destination Wedding;2018;87;Comedy,Drama,Romance;6.0;28049.0;TRUE;nm0000206;Keanu Reeves;1964;nm0000213;Winona Ryder;1971;47;54;7;(50.0, 55.0];(45.0, 50.0]
61;Set It Up;Set It Up;2018;105;Comedy,Romance;6.5;48703.0;TRUE;nm1412974;Glen Powell;1988;nm3614913;Zoey Deutch;1994;24;30;6;(25.0, 30.0];(20.0, 25.0]
76;96;96;2018;158;Drama,Romance;8.5;27127.0;TRUE;nm4043111;Vijay Sethupathi;1978;nm1375534;Trisha Krishnan;1983;35;40;5;(35.0, 40.0];(30.0, 35.0]
72;Midnight Sun;Midnight Sun;2018;91;Drama,Romance;6.6;28762.0;TRUE;nm2200639;Patrick Schwarzenegger;1993;nm2254074;Bella Thorne;1997;21;25;4;(20.0, 25.0];(20.0, 25.0]
64;When We First Met;When We First Met;2018;97;Comedy,Fantasy,Romance;6.4;46886.0;TRUE;nm2796745;Adam Devine;1983;nm1275259;Alexandra Daddario;1986;32;35;3;(30.0, 35.0];(30.0, 35.0]
70;The Kissing Booth;The Kissing Booth;2018;105;Comedy,Romance;6.0;78851.0;TRUE;nm8624059;Jacob Elordi;1997;nm1428821;Joey King;1999;19;21;2;(20.0, 25.0];(16.0, 20.0]
73;Sierra Burgess Is a Loser;Sierra Burgess Is a Loser;2018;105;Comedy,Drama,Romance;5.7;37886.0;TRUE;nm5518972;RJ Cyler;1995;nm7684864;Shannon Purser;1997;21;23;2;(20.0, 25.0];(20.0, 25.0]
65;To All the Boys I've Loved Before;To All the Boys I've Loved Before;2018;99;Comedy,Drama,Romance;7.1;99890.0;TRUE;nm3170207;Noah Centineo;1996;nm7093076;Lana Condor;1997;21;22;1;(20.0, 25.0];(20.0, 25.0]
77;Padmaavat;Padmaavat;2018;164;Drama,History,Romance;7.0;30270.0;TRUE;nm3828984;Ranveer Singh;1985;nm2138653;Deepika Padukone;1986;32;33;1;(30.0, 35.0];(30.0, 35.0]
69;If Beale Street Could Talk;If Beale Street Could Talk;2018;119;Drama,Romance;7.1;47006.0;TRUE;nm4150847;Stephan James;1993;nm8460487;KiKi Layne;1991;27;25;-2;(20.0, 25.0];(25.0, 30.0]
62;I Feel Pretty;I Feel Pretty;2018;110;Comedy,Romance;5.6;52461.0;TRUE;nm2584392;Tom Hopper;1985;nm2154960;Amy Schumer;1981;37;33;-4;(30.0, 35.0];(35.0, 40.0]
67;Crazy Rich Asians;Crazy Rich Asians;2018;120;Comedy,Drama,Romance;6.9;161388.0;TRUE;nm6525901;Henry Golding;1987;nm2090422;Constance Wu;1982;36;31;-5;(30.0, 35.0];(35.0, 40.0]
66;Love, Simon;Love, Simon;2018;110;Comedy,Drama,Romance;7.6;108590.0;TRUE;nm3538718;Nick Robinson;1995;nm0004950;Jennifer Garner;1972;46;23;-23;(20.0, 25.0];(45.0, 50.0]
60;Mamma Mia! Here We Go Again;Mamma Mia! Here We Go Again;2018;114;Comedy,Musical,Romance;6.6;89455.0;TRUE;;Pierce Brosnan;1953;;Meryl Streep;1949;;;;;
74;Book Club;Book Club;2018;104;Comedy,Drama,Romance;6.1;27350.0;TRUE;;Craig T. Nelson;1944;;Mary Steenburgen;1953;;;;;
83;Phantom Thread;Phantom Thread;2017;130;Drama,Romance;7.5;123616.0;TRUE;nm0000358;Daniel Day-Lewis;1957;nm3043279;Vicky Krieps;1983;34;60;26;(55.0, 60.0];(30.0, 35.0]
88;The Discovery;The Discovery;2017;102;Drama,Romance,Sci-Fi;6.3;32965.0;TRUE;nm0000602;Robert Redford;1936;nm0005460;Mary Steenburgen;1953;64;81;17;(65.0, 81.0];(60.0, 65.0]
92;Table 19;Table 19;2017;87;Comedy,Drama,Romance;5.8;27816.0;TRUE;nm0732497;Craig Robinson;1971;nm0447695;Anna Kendrick;1985;32;46;14;(45.0, 50.0];(30.0, 35.0]
86;The Space Between Us;The Space Between Us;2017;120;Drama,Romance,Sci-Fi;6.4;51503.0;TRUE;nm0000198;Gary Oldman;1958;nm0001303;Carla Gugino;1971;46;59;13;(55.0, 60.0];(45.0, 50.0]
85;A Ghost Story;A Ghost Story;2017;92;Drama,Fantasy,Romance;6.9;68565.0;TRUE;nm0000729;Casey Affleck;1975;nm1913734;Rooney Mara;1985;32;42;10;(40.0, 45.0];(30.0, 35.0]
99;Wonder Wheel;Wonder Wheel;2017;101;Drama,Romance;6.2;27877.0;TRUE;nm0005493;Justin Timberlake;1981;nm1017334;Juno Temple;1989;28;36;8;(35.0, 40.0];(25.0, 30.0]
84;Fifty Shades Darker;Fifty Shades Darker;2017;118;Drama,Romance;4.6;98198.0;TRUE;nm1946193;Jamie Dornan;1982;nm0424848;Dakota Johnson;1989;28;35;7;(30.0, 35.0];(25.0, 30.0]
89;Home Again;Home Again;2017;97;Comedy,Drama,Romance;5.8;31244.0;TRUE;nm0790688;Michael Sheen;1969;nm0000702;Reese Witherspoon;1976;41;48;7;(45.0, 50.0];(40.0, 45.0]
93;2:22;2:22;2017;98;Drama,Mystery,Romance;5.8;22322.0;TRUE;nm0401264;Michiel Huisman;1981;nm1954240;Teresa Palmer;1986;31;36;5;(35.0, 40.0];(30.0, 35.0]
97;Song to Song;Song to Song;2017;129;Drama,Music,Romance;5.6;20448.0;TRUE;nm0331516;Ryan Gosling;1980;nm1913734;Rooney Mara;1985;32;37;5;(35.0, 40.0];(30.0, 35.0]
87;Everything, Everything;Everything, Everything;2017;96;Drama,Romance;6.4;36911.0;TRUE;nm3538718;Nick Robinson;1995;nm3964350;Amandla Stenberg;1998;19;22;3;(20.0, 25.0];(16.0, 20.0]
80;The Shape of Water;The Shape of Water;2017;123;Drama,Fantasy,Romance;7.3;400771.0;TRUE;nm0788335;Michael Shannon;1974;nm1020089;Sally Hawkins;1976;41;43;2;(40.0, 45.0];(40.0, 45.0]
98;Tulip Fever;Tulip Fever;2017;105;Drama,History,Romance;6.2;20302.0;TRUE;nm2851530;Dane DeHaan;1986;nm2539953;Alicia Vikander;1988;29;31;2;(30.0, 35.0];(25.0, 30.0]
96;Breathe;Breathe;2017;118;Biography,Drama,Romance;7.2;21355.0;TRUE;nm1940449;Andrew Garfield;1983;nm2946516;Claire Foy;1984;33;34;1;(30.0, 35.0];(30.0, 35.0]
90;Disobedience;Disobedience;2017;114;Drama,Romance;6.6;29191.0;TRUE;nm0005273;Alessandro Nivola;1972;nm0001838;Rachel Weisz;1970;47;45;-2;(40.0, 45.0];(45.0, 50.0]
