;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
311;You, Me and Dupree;You, Me and Dupree;2006;110;Comedy,Romance;5.6;80520.0;TRUE;nm0005562;Owen Wilson;1968;nm0005028;Kate Hudson;1979;27;38;11;(35.0, 40.0];(25.0, 30.0]
316;Employee of the Month;Employee of the Month;2006;103;Comedy,Romance;5.5;46967.0;TRUE;nm0176981;Dane Cook;1972;nm0005433;Jessica Simpson;1980;26;34;8;(30.0, 35.0];(25.0, 30.0]
306;She's the Man;She's the Man;2006;105;Comedy,Romance,Sport;6.3;153956.0;TRUE;nm1475594;Channing Tatum;1980;nm0004789;Amanda Bynes;1986;20;26;6;(25.0, 30.0];(16.0, 20.0]
314;Just My Luck;Just My Luck;2006;108;Comedy,Fantasy,Romance;5.4;55960.0;TRUE;nm1517976;Chris Pine;1980;nm0517820;Lindsay Lohan;1986;20;26;6;(25.0, 30.0];(16.0, 20.0]
308;The Holiday;The Holiday;2006;136;Comedy,Romance;6.9;276810.0;TRUE;nm0000179;Jude Law;1972;nm0000701;Kate Winslet;1975;31;34;3;(30.0, 35.0];(30.0, 35.0]
303;Little Children;Little Children;2006;137;Drama,Romance;7.5;109994.0;TRUE;nm0933940;Patrick Wilson;1973;nm0000701;Kate Winslet;1975;31;33;2;(30.0, 35.0];(30.0, 35.0]
304;John Tucker Must Die;John Tucker Must Die;2006;89;Comedy,Romance;5.8;82629.0;TRUE;nm0582462;Jesse Metcalfe;1978;nm0038680;Ashanti;1980;26;28;2;(25.0, 30.0];(25.0, 30.0]
307;The Fountain;The Fountain;2006;97;Drama,Mystery,Romance;7.2;235494.0;TRUE;nm0413168;Hugh Jackman;1968;nm0001838;Rachel Weisz;1970;36;38;2;(35.0, 40.0];(35.0, 40.0]
313;Tristan + Isolde;Tristan + Isolde;2006;125;Action,Drama,Romance;6.8;51885.0;TRUE;nm0290556;James Franco;1978;nm0617009;Sophia Myles;1980;26;28;2;(25.0, 30.0];(25.0, 30.0]
312;Penelope;Penelope;2006;104;Comedy,Fantasy,Romance;6.7;62244.0;TRUE;nm0564215;James McAvoy;1979;nm0000207;Christina Ricci;1980;26;27;1;(25.0, 30.0];(25.0, 30.0]
305;The Lake House;The Lake House;2006;99;Drama,Fantasy,Romance;6.8;146490.0;TRUE;nm0000206;Keanu Reeves;1964;nm0000113;Sandra Bullock;1964;42;42;0;(40.0, 45.0];(40.0, 45.0]
300;The Break-Up;The Break-Up;2006;106;Comedy,Drama,Romance;5.8;130269.0;TRUE;nm0000681;Vince Vaughn;1970;nm0000098;Jennifer Aniston;1969;37;36;-1;(35.0, 40.0];(35.0, 40.0]
301;The Painted Veil;The Painted Veil;2006;125;Drama,Romance;7.5;91753.0;TRUE;nm0001570;Edward Norton;1969;nm0915208;Naomi Watts;1968;38;37;-1;(35.0, 40.0];(35.0, 40.0]
317;My Super Ex-Girlfriend;My Super Ex-Girlfriend;2006;96;Comedy,Romance,Sci-Fi;5.1;63546.0;TRUE;nm0005561;Luke Wilson;1971;nm0000235;Uma Thurman;1970;36;35;-1;(30.0, 35.0];(35.0, 40.0]
310;Failure to Launch;Failure to Launch;2006;97;Comedy,Romance;5.6;78559.0;TRUE;nm0000190;Matthew McConaughey;1969;nm0000572;Sarah Jessica Parker;1965;41;37;-4;(35.0, 40.0];(40.0, 45.0]
315;Date Movie;Date Movie;2006;83;Comedy,Romance;2.8;58946.0;TRUE;nm0968405;Adam Campbell;1980;nm0004989;Alyson Hannigan;1974;32;26;-6;(25.0, 30.0];(30.0, 35.0]
309;Cashback;Cashback;2006;102;Comedy,Drama,Romance;7.1;85720.0;TRUE;nm0081801;Sean Biggerstaff;1983;nm0288976;Emilia Fox;1974;32;23;-9;(20.0, 25.0];(30.0, 35.0]
319;Notes on a Scandal;Notes on a Scandal;2006;92;Crime,Drama,Romance;7.4;77156.0;TRUE;nm1587166;Andrew Simpson;1989;nm0000949;Cate Blanchett;1969;37;17;-20;(16.0, 20.0];(35.0, 40.0]
326;Memoirs of a Geisha;Memoirs of a Geisha;2005;145;Drama,Romance;7.4;144976.0;TRUE;nm0913822;Ken Watanabe;1959;nm0955471;Ziyi Zhang;1979;26;46;20;(45.0, 50.0];(25.0, 30.0]
324;Pride & Prejudice;Pride & Prejudice;2005;129;Drama,Romance;7.8;280143.0;TRUE;nm0532193;Matthew Macfadyen;1974;nm0461136;Keira Knightley;1985;20;31;11;(30.0, 35.0];(16.0, 20.0]
321;Wedding Crashers;Wedding Crashers;2005;119;Comedy,Romance;6.9;345813.0;TRUE;nm0005562;Owen Wilson;1968;nm1046097;Rachel McAdams;1978;27;37;10;(35.0, 40.0];(25.0, 30.0]
329;The Legend of Zorro;The Legend of Zorro;2005;129;Action,Adventure,Romance;6.0;99521.0;TRUE;nm0000104;Antonio Banderas;1960;nm0001876;Catherine Zeta-Jones;1969;36;45;9;(40.0, 45.0];(35.0, 40.0]
327;The Constant Gardener;The Constant Gardener;2005;129;Drama,Mystery,Romance;7.4;138182.0;TRUE;nm0000146;Ralph Fiennes;1962;nm0001838;Rachel Weisz;1970;35;43;8;(40.0, 45.0];(30.0, 35.0]
337;Rent;Rent;2005;135;Drama,Musical,Romance;6.9;51807.0;TRUE;nm0004875;Taye Diggs;1971;nm0206257;Rosario Dawson;1979;26;34;8;(30.0, 35.0];(25.0, 30.0]
325;Match Point;Match Point;2005;124;Drama,Romance,Thriller;7.6;213875.0;TRUE;nm0001667;Jonathan Rhys Meyers;1977;nm0424060;Scarlett Johansson;1984;21;28;7;(25.0, 30.0];(20.0, 25.0]
323;Hitch;Hitch;2005;118;Comedy,Romance;6.6;308559.0;TRUE;nm0000226;Will Smith;1968;nm0578949;Eva Mendes;1974;31;37;6;(35.0, 40.0];(30.0, 35.0]
330;Elizabethtown;Elizabethtown;2005;123;Comedy,Drama,Romance;6.4;69464.0;TRUE;nm0089217;Orlando Bloom;1977;nm0000379;Kirsten Dunst;1982;23;28;5;(25.0, 30.0];(20.0, 25.0]
338;The Wedding Date;The Wedding Date;2005;90;Comedy,Romance;6.2;51148.0;TRUE;nm0000551;Dermot Mulroney;1963;nm0005226;Debra Messing;1968;37;42;5;(40.0, 45.0];(35.0, 40.0]
332;The Family Stone;The Family Stone;2005;103;Comedy,Drama,Romance;6.3;66803.0;TRUE;nm0000551;Dermot Mulroney;1963;nm0000572;Sarah Jessica Parker;1965;40;42;2;(40.0, 45.0];(35.0, 40.0]
336;Rumor Has It...;Rumor Has It...;2005;97;Comedy,Drama,Romance;5.5;57181.0;TRUE;nm0749263;Mark Ruffalo;1967;nm0000098;Jennifer Aniston;1969;36;38;2;(35.0, 40.0];(35.0, 40.0]
331;Fever Pitch;Fever Pitch;2005;104;Comedy,Drama,Romance;6.2;44516.0;TRUE;nm0266422;Jimmy Fallon;1974;nm0000106;Drew Barrymore;1975;30;31;1;(30.0, 35.0];(25.0, 30.0]
334;Monster-in-Law;Monster-in-Law;2005;101;Comedy,Romance;5.6;59545.0;TRUE;nm0890232;Michael Vartan;1968;nm0000182;Jennifer Lopez;1969;36;37;1;(35.0, 40.0];(35.0, 40.0]
320;Bewitched;Bewitched;2005;102;Comedy,Fantasy,Romance;4.8;71500.0;TRUE;nm0002071;Will Ferrell;1967;nm0000173;Nicole Kidman;1967;38;38;0;(35.0, 40.0];(35.0, 40.0]
322;Brokeback Mountain;Brokeback Mountain;2005;134;Drama,Romance;7.7;343701.0;TRUE;nm0350453;Jake Gyllenhaal;1980;nm0931329;Michelle Williams;1980;25;25;0;(20.0, 25.0];(20.0, 25.0]
328;Just Friends;Just Friends;2005;96;Comedy,Romance;6.2;115006.0;TRUE;nm0005351;Ryan Reynolds;1976;nm0005442;Amy Smart;1976;29;29;0;(25.0, 30.0];(25.0, 30.0]
333;In Her Shoes;In Her Shoes;2005;130;Comedy,Drama,Romance;6.4;61437.0;TRUE;nm0609845;Anson Mount;1973;nm0001057;Toni Collette;1972;33;32;-1;(30.0, 35.0];(30.0, 35.0]
339;A Lot Like Love;A Lot Like Love;2005;107;Comedy,Drama,Romance;6.6;68762.0;TRUE;nm0005110;Ashton Kutcher;1978;nm0001605;Amanda Peet;1972;33;27;-6;(25.0, 30.0];(30.0, 35.0]
335;The Sisterhood of the Traveling Pants;The Sisterhood of the Traveling Pants;2005;119;Comedy,Drama,Romance;6.5;58823.0;TRUE;;Mike Vogel;1979;;Blake Lively;1987;;;;;
352;The Phantom of the Opera;The Phantom of the Opera;2004;143;Drama,Musical,Romance;7.2;120349.0;TRUE;nm0124930;Gerard Butler;1969;nm0002536;Emmy Rossum;1986;18;35;17;(30.0, 35.0];(16.0, 20.0]
359;2046;2046;2004;129;Drama,Romance,Sci-Fi;7.4;56062.0;TRUE;nm0504897;Tony Chiu-Wai Leung;1962;nm0955471;Ziyi Zhang;1979;25;42;17;(40.0, 45.0];(20.0, 25.0]
346;The Terminal;The Terminal;2004;128;Comedy,Drama,Romance;7.4;437851.0;TRUE;nm0000158;Tom Hanks;1956;nm0001876;Catherine Zeta-Jones;1969;35;48;13;(45.0, 50.0];(30.0, 35.0]
348;Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;2004;108;Drama,Romance,Sci-Fi;8.3;963062.0;TRUE;nm0000120;Jim Carrey;1962;nm0000701;Kate Winslet;1975;29;42;13;(40.0, 45.0];(25.0, 30.0]
358;Wimbledon;Wimbledon;2004;98;Comedy,Romance,Sport;6.3;63519.0;TRUE;nm0079273;Paul Bettany;1971;nm0000379;Kirsten Dunst;1982;22;33;11;(30.0, 35.0];(20.0, 25.0]
345;50 First Dates;50 First Dates;2004;99;Comedy,Drama,Romance;6.8;343408.0;TRUE;nm0001191;Adam Sandler;1966;nm0000106;Drew Barrymore;1975;29;38;9;(35.0, 40.0];(25.0, 30.0]
349;Closer;Closer;2004;104;Drama,Romance;7.2;212894.0;TRUE;nm0000179;Jude Law;1972;nm0000204;Natalie Portman;1981;23;32;9;(30.0, 35.0];(20.0, 25.0]
353;Bridget Jones: The Edge of Reason;Bridget Jones: The Edge of Reason;2004;108;Comedy,Drama,Romance;6.0;112003.0;TRUE;nm0000147;Colin Firth;1960;nm0000250;Renée Zellweger;1969;35;44;9;(40.0, 45.0];(30.0, 35.0]
341;Garden State;Garden State;2004;102;Comedy,Drama,Romance;7.4;213345.0;TRUE;nm0103785;Zach Braff;1975;nm0000204;Natalie Portman;1981;23;29;6;(25.0, 30.0];(20.0, 25.0]
354;A Cinderella Story;A Cinderella Story;2004;95;Comedy,Family,Romance;5.9;85214.0;TRUE;nm0614877;Chad Michael Murray;1981;nm0240381;Hilary Duff;1987;17;23;6;(20.0, 25.0];(16.0, 20.0]
350;13 Going on 30;13 Going on 30;2004;98;Comedy,Fantasy,Romance;6.2;181570.0;TRUE;nm0749263;Mark Ruffalo;1967;nm0004950;Jennifer Garner;1972;32;37;5;(35.0, 40.0];(30.0, 35.0]
356;The Princess Diaries 2: Royal Engagement;The Princess Diaries 2: Royal Engagement;2004;113;Comedy,Family,Romance;5.9;78459.0;TRUE;nm0089485;Callum Blue;1977;nm0004266;Anne Hathaway;1982;22;27;5;(25.0, 30.0];(20.0, 25.0]
357;Jersey Girl;Jersey Girl;2004;102;Comedy,Drama,Romance;6.2;65239.0;TRUE;nm0000255;Ben Affleck;1972;nm0000239;Liv Tyler;1977;27;32;5;(30.0, 35.0];(25.0, 30.0]
351;Along Came Polly;Along Came Polly;2004;90;Comedy,Romance;6.0;132959.0;TRUE;nm0001774;Ben Stiller;1965;nm0000098;Jennifer Aniston;1969;35;39;4;(35.0, 40.0];(30.0, 35.0]
347;The Notebook;The Notebook;2004;123;Drama,Romance;7.8;549172.0;TRUE;nm0001258;James Garner;1928;nm0001687;Gena Rowlands;1930;74;76;2;(65.0, 81.0];(65.0, 81.0]
355;Spanglish;Spanglish;2004;131;Comedy,Drama,Romance;6.4;82563.0;TRUE;nm0001191;Adam Sandler;1966;nm0000495;Téa Leoni;1966;38;38;0;(35.0, 40.0];(35.0, 40.0]
343;Before Sunset;Before Sunset;2004;80;Drama,Romance;8.1;252194.0;TRUE;nm0000160;Ethan Hawke;1970;nm0000365;Julie Delpy;1969;35;34;-1;(30.0, 35.0];(30.0, 35.0]
342;The Girl Next Door;The Girl Next Door;2004;109;Comedy,Drama,Romance;6.7;218219.0;TRUE;nm0386472;Emile Hirsch;1985;nm0193846;Elisha Cuthbert;1982;22;19;-3;(16.0, 20.0];(20.0, 25.0]
344;Sideways;Sideways;2004;127;Comedy,Drama,Romance;7.5;187177.0;TRUE;nm0316079;Paul Giamatti;1967;nm0000515;Virginia Madsen;1961;43;37;-6;(35.0, 40.0];(40.0, 45.0]
340;Meet the Fockers;Meet the Fockers;2004;115;Comedy,Romance;6.3;264079.0;TRUE;nm0001774;Ben Stiller;1965;nm0001100;Teri Polo;1969;61;39;-22;(35.0, 40.0];(60.0, 65.0]
375;Anything Else;Anything Else;2003;108;Comedy,Romance;6.3;30757.0;TRUE;nm0000095;Jason Biggs;1978;nm0000207;Christina Ricci;1980;23;68;45;(65.0, 81.0];(20.0, 25.0]
376;The Human Stain;The Human Stain;2003;106;Drama,Romance,Thriller;6.3;30585.0;TRUE;nm0000164;Anthony Hopkins;1937;nm0000173;Nicole Kidman;1967;36;66;30;(65.0, 81.0];(35.0, 40.0]
363;Girl with a Pearl Earring;Girl with a Pearl Earring;2003;100;Biography,Drama,Romance;6.9;76758.0;TRUE;nm0000147;Colin Firth;1960;nm0424060;Scarlett Johansson;1984;19;43;24;(40.0, 45.0];(16.0, 20.0]
374;The Cooler;The Cooler;2003;101;Drama,Romance;6.9;33691.0;TRUE;nm0000513;William H. Macy;1950;nm0004742;Maria Bello;1967;36;53;17;(50.0, 55.0];(35.0, 40.0]
370;Love Actually;Love Actually;2003;135;Comedy,Drama,Romance;7.6;469710.0;TRUE;nm0000424;Hugh Grant;1960;nm0567356;Martine McCutcheon;1976;27;43;16;(40.0, 45.0];(25.0, 30.0]
378;Beyond Borders;Beyond Borders;2003;127;Adventure,Drama,Romance;6.5;28131.0;TRUE;nm0654110;Clive Owen;1964;nm0001401;Angelina Jolie;1975;28;39;11;(35.0, 40.0];(25.0, 30.0]
368;How to Lose a Guy in 10 Days;How to Lose a Guy in 10 Days;2003;116;Comedy,Romance;6.4;227031.0;TRUE;nm0000190;Matthew McConaughey;1969;nm0005028;Kate Hudson;1979;24;34;10;(30.0, 35.0];(20.0, 25.0]
366;Something's Gotta Give;Something's Gotta Give;2003;128;Comedy,Drama,Romance;6.7;118354.0;TRUE;nm0000197;Jack Nicholson;1937;nm0000473;Diane Keaton;1946;57;66;9;(65.0, 81.0];(55.0, 60.0]
364;Intolerable Cruelty;Intolerable Cruelty;2003;100;Comedy,Crime,Romance;6.2;95711.0;TRUE;nm0000123;George Clooney;1961;nm0001876;Catherine Zeta-Jones;1969;34;42;8;(40.0, 45.0];(30.0, 35.0]
372;Honey;Honey;2003;94;Drama,Music,Romance;5.4;45200.0;TRUE;nm0001616;Mekhi Phifer;1974;nm0004695;Jessica Alba;1981;22;29;7;(25.0, 30.0];(20.0, 25.0]
379;View from the Top;View from the Top;2003;87;Comedy,Romance;5.3;26664.0;TRUE;nm0749263;Mark Ruffalo;1967;nm0000569;Gwyneth Paltrow;1972;31;36;5;(35.0, 40.0];(30.0, 35.0]
360;The Dreamers;The Dreamers;2003;115;Drama,Romance;7.2;117743.0;TRUE;nm0685856;Michael Pitt;1981;nm1200692;Eva Green;1980;23;22;-1;(20.0, 25.0];(20.0, 25.0]
361;Just Married;Just Married;2003;95;Comedy,Romance;5.5;70001.0;TRUE;nm0005110;Ashton Kutcher;1978;nm0005261;Brittany Murphy;1977;26;25;-1;(20.0, 25.0];(25.0, 30.0]
371;Uptown Girls;Uptown Girls;2003;92;Comedy,Drama,Romance;6.2;37514.0;TRUE;nm0817980;Jesse Spencer;1979;nm0005261;Brittany Murphy;1977;26;24;-2;(20.0, 25.0];(25.0, 30.0]
373;Down with Love;Down with Love;2003;101;Comedy,Romance;6.3;40963.0;TRUE;nm0000191;Ewan McGregor;1971;nm0000250;Renée Zellweger;1969;34;32;-2;(30.0, 35.0];(30.0, 35.0]
365;Gigli;Gigli;2003;121;Comedy,Crime,Romance;2.5;48354.0;TRUE;nm0000255;Ben Affleck;1972;nm0000182;Jennifer Lopez;1969;34;31;-3;(30.0, 35.0];(30.0, 35.0]
377;My Boss's Daughter;My Boss's Daughter;2003;86;Comedy,Romance;4.7;29137.0;TRUE;nm0005110;Ashton Kutcher;1978;nm0005346;Tara Reid;1975;28;25;-3;(20.0, 25.0];(25.0, 30.0]
369;Under the Tuscan Sun;Under the Tuscan Sun;2003;113;Comedy,Drama,Romance;6.8;50859.0;TRUE;nm0100556;Raoul Bova;1971;nm0000178;Diane Lane;1965;38;32;-6;(30.0, 35.0];(35.0, 40.0]
367;Good Bye Lenin!;Good Bye Lenin!;2003;121;Comedy,Drama,Romance;7.7;143262.0;TRUE;nm0117709;Daniel Brühl;1978;nm0765911;Chulpan Khamatova;1975;47;25;-22;(20.0, 25.0];(45.0, 50.0]
384;Secretary;Secretary;2002;107;Comedy,Drama,Romance;7.0;89003.0;TRUE;nm0000652;James Spader;1960;nm0350454;Maggie Gyllenhaal;1977;25;42;17;(40.0, 45.0];(20.0, 25.0]
399;Unfaithful;Unfaithful;2002;124;Drama,Romance,Thriller;6.7;86291.0;TRUE;nm0000152;Richard Gere;1949;nm0000178;Diane Lane;1965;37;53;16;(50.0, 55.0];(35.0, 40.0]
391;Frida;Frida;2002;123;Biography,Drama,Romance;7.4;87211.0;TRUE;nm0000547;Alfred Molina;1953;nm0000161;Salma Hayek;1966;36;49;13;(45.0, 50.0];(35.0, 40.0]
387;About a Boy;About a Boy;2002;101;Comedy,Drama,Romance;7.1;180933.0;TRUE;nm0000424;Hugh Grant;1960;nm0001057;Toni Collette;1972;30;42;12;(40.0, 45.0];(25.0, 30.0]
381;Sweet Home Alabama;Sweet Home Alabama;2002;108;Comedy,Romance;6.2;109360.0;TRUE;nm0001131;Patrick Dempsey;1966;nm0000702;Reese Witherspoon;1976;26;36;10;(35.0, 40.0];(25.0, 30.0]
396;Crossroads;Crossroads;2002;93;Comedy,Drama,Romance;3.6;39756.0;TRUE;nm0609845;Anson Mount;1973;nm0005453;Britney Spears;1981;21;29;8;(25.0, 30.0];(20.0, 25.0]
398;Solaris;Solaris;2002;99;Drama,Mystery,Romance;6.2;81535.0;TRUE;nm0000123;George Clooney;1961;nm0001523;Natascha McElhone;1969;33;41;8;(40.0, 45.0];(30.0, 35.0]
390;Maid in Manhattan;Maid in Manhattan;2002;105;Comedy,Drama,Romance;5.3;87701.0;TRUE;nm0000146;Ralph Fiennes;1962;nm0000182;Jennifer Lopez;1969;33;40;7;(35.0, 40.0];(30.0, 35.0]
388;A Walk to Remember;A Walk to Remember;2002;101;Drama,Romance;7.3;206676.0;TRUE;nm0922342;Shane West;1978;nm0601553;Mandy Moore;1984;18;24;6;(20.0, 25.0];(16.0, 20.0]
394;Far from Heaven;Far from Heaven;2002;107;Drama,Romance;7.4;45806.0;TRUE;nm0000598;Dennis Quaid;1954;nm0000194;Julianne Moore;1960;42;48;6;(45.0, 50.0];(40.0, 45.0]
385;Mr. Deeds;Mr. Deeds;2002;96;Comedy,Romance;5.8;141453.0;TRUE;nm0001191;Adam Sandler;1966;nm0000213;Winona Ryder;1971;31;36;5;(35.0, 40.0];(30.0, 35.0]
382;Two Weeks Notice;Two Weeks Notice;2002;101;Comedy,Romance;6.2;115240.0;TRUE;nm0000424;Hugh Grant;1960;nm0000113;Sandra Bullock;1964;38;42;4;(40.0, 45.0];(35.0, 40.0]
392;The Sweetest Thing;The Sweetest Thing;2002;84;Comedy,Romance;5.2;57909.0;TRUE;nm0005048;Thomas Jane;1969;nm0000139;Cameron Diaz;1972;30;33;3;(30.0, 35.0];(25.0, 30.0]
383;My Big Fat Greek Wedding;My Big Fat Greek Wedding;2002;95;Comedy,Drama,Romance;6.6;127212.0;TRUE;nm0179173;John Corbett;1961;nm0889522;Nia Vardalos;1962;40;41;1;(40.0, 45.0];(35.0, 40.0]
386;Punch-Drunk Love;Punch-Drunk Love;2002;95;Comedy,Drama,Romance;7.3;158203.0;TRUE;nm0001191;Adam Sandler;1966;nm0001833;Emily Watson;1967;35;36;1;(35.0, 40.0];(30.0, 35.0]
395;The Rules of Attraction;The Rules of Attraction;2002;110;Comedy,Drama,Romance;6.6;50966.0;TRUE;nm0004735;James Van Der Beek;1977;nm0815370;Shannyn Sossamon;1978;24;25;1;(20.0, 25.0];(20.0, 25.0]
397;40 Days and 40 Nights;40 Days and 40 Nights;2002;96;Comedy,Romance;5.6;72823.0;TRUE;nm0001326;Josh Hartnett;1978;nm0815370;Shannyn Sossamon;1978;24;24;0;(20.0, 25.0];(20.0, 25.0]
389;Bend It Like Beckham;Bend It Like Beckham;2002;112;Comedy,Drama,Romance;6.6;108408.0;TRUE;nm0001667;Jonathan Rhys Meyers;1977;nm0619406;Parminder Nagra;1975;27;25;-2;(20.0, 25.0];(25.0, 30.0]
393;The Good Girl;The Good Girl;2002;93;Drama,Romance;6.4;44762.0;TRUE;nm0350453;Jake Gyllenhaal;1980;nm0000098;Jennifer Aniston;1969;33;22;-11;(20.0, 25.0];(30.0, 35.0]
415;Heartbreakers;Heartbreakers;2001;123;Comedy,Crime,Romance;6.2;53620.0;TRUE;nm0000432;Gene Hackman;1930;nm0000244;Sigourney Weaver;1949;52;71;19;(65.0, 81.0];(50.0, 55.0]
413;Original Sin;Original Sin;2001;116;Drama,Mystery,Romance;6.1;55824.0;TRUE;nm0000104;Antonio Banderas;1960;nm0001401;Angelina Jolie;1975;26;41;15;(40.0, 45.0];(25.0, 30.0]
402;Vanilla Sky;Vanilla Sky;2001;136;Fantasy,Mystery,Romance;6.9;258781.0;TRUE;nm0000129;Tom Cruise;1962;nm0004851;Penélope Cruz;1974;27;39;12;(35.0, 40.0];(25.0, 30.0]
408;Sweet November;Sweet November;2001;119;Drama,Romance;6.7;89042.0;TRUE;nm0000206;Keanu Reeves;1964;nm0000234;Charlize Theron;1975;26;37;11;(35.0, 40.0];(25.0, 30.0]
409;Monster's Ball;Monster's Ball;2001;111;Drama,Romance;7.0;87566.0;TRUE;nm0000671;Billy Bob Thornton;1955;nm0000932;Halle Berry;1966;35;46;11;(45.0, 50.0];(30.0, 35.0]
419;Save the Last Dance;Save the Last Dance;2001;112;Drama,Music,Romance;6.2;60369.0;TRUE;nm0859503;Sean Patrick Thomas;1970;nm0005466;Julia Stiles;1981;20;31;11;(30.0, 35.0];(16.0, 20.0]
417;Captain Corelli's Mandolin;Captain Corelli's Mandolin;2001;131;Drama,Music,Romance;5.9;33952.0;TRUE;nm0000115;Nicolas Cage;1964;nm0004851;Penélope Cruz;1974;27;37;10;(35.0, 40.0];(25.0, 30.0]
403;Bridget Jones's Diary;Bridget Jones's Diary;2001;97;Comedy,Drama,Romance;6.7;237850.0;TRUE;nm0000147;Colin Firth;1960;nm0000250;Renée Zellweger;1969;32;41;9;(40.0, 45.0];(30.0, 35.0]
407;Serendipity;Serendipity;2001;90;Comedy,Romance;6.9;110677.0;TRUE;nm0000131;John Cusack;1966;nm0000295;Kate Beckinsale;1973;28;35;7;(30.0, 35.0];(25.0, 30.0]
404;Legally Blonde;Legally Blonde;2001;96;Comedy,Romance;6.4;205139.0;TRUE;nm0005561;Luke Wilson;1971;nm0000702;Reese Witherspoon;1976;25;30;5;(25.0, 30.0];(20.0, 25.0]
412;Wet Hot American Summer;Wet Hot American Summer;2001;97;Comedy,Romance;6.6;56824.0;TRUE;nm0001383;David Hyde Pierce;1959;nm0000413;Janeane Garofalo;1964;37;42;5;(40.0, 45.0];(35.0, 40.0]
411;America's Sweethearts;America's Sweethearts;2001;102;Comedy,Romance;5.7;57293.0;TRUE;nm0000131;John Cusack;1966;nm0000210;Julia Roberts;1967;34;35;1;(30.0, 35.0];(30.0, 35.0]
400;The Wedding Planner;The Wedding Planner;2001;103;Comedy,Romance;5.4;79568.0;TRUE;nm0000190;Matthew McConaughey;1969;nm0000182;Jennifer Lopez;1969;32;32;0;(30.0, 35.0];(30.0, 35.0]
405;A Knight's Tale;A Knight's Tale;2001;132;Action,Adventure,Romance;7.0;181606.0;TRUE;nm0005132;Heath Ledger;1979;nm0815370;Shannyn Sossamon;1978;23;22;-1;(20.0, 25.0];(20.0, 25.0]
406;The Princess Diaries;The Princess Diaries;2001;115;Comedy,Family,Romance;6.4;138232.0;TRUE;nm0001185;Hector Elizondo;1936;nm0000267;Julie Andrews;1935;66;65;-1;(60.0, 65.0];(65.0, 81.0]
401;Moulin Rouge!;Moulin Rouge!;2001;127;Drama,Musical,Romance;7.6;276841.0;TRUE;nm0000191;Ewan McGregor;1971;nm0000173;Nicole Kidman;1967;34;30;-4;(25.0, 30.0];(30.0, 35.0]
416;Saving Silverman;Saving Silverman;2001;90;Comedy,Crime,Romance;5.9;40184.0;TRUE;nm0004755;Jason Biggs;1978;nm0001605;Amanda Peet;1972;29;23;-6;(20.0, 25.0];(25.0, 30.0]
410;Kate & Leopold;Kate & Leopold;2001;118;Comedy,Fantasy,Romance;6.4;82503.0;TRUE;nm0413168;Hugh Jackman;1968;nm0000212;Meg Ryan;1961;40;33;-7;(30.0, 35.0];(35.0, 40.0]
418;Bubble Boy;Bubble Boy;2001;84;Adventure,Comedy,Romance;5.6;32804.0;TRUE;nm0350453;Jake Gyllenhaal;1980;nm0001436;Marley Shelton;1974;57;21;-36;(20.0, 25.0];(55.0, 60.0]
414;The Majestic;The Majestic;2001;152;Drama,Romance;6.9;54045.0;TRUE;;Jim Carrey;1962;;laurie holden;1969;;;;;
430;Autumn in New York;Autumn in New York;2000;103;Drama,Romance;5.7;26125.0;TRUE;nm0000152;Richard Gere;1949;nm0000213;Winona Ryder;1971;29;51;22;(50.0, 55.0];(25.0, 30.0]
439;Dr. T & the Women;Dr. T & the Women;2000;122;Comedy,Drama,Romance;4.6;19468.0;TRUE;nm0000152;Richard Gere;1949;nm0000166;Helen Hunt;1963;37;51;14;(50.0, 55.0];(35.0, 40.0]
422;Where the Heart Is;Where the Heart Is;2000;120;Comedy,Drama,Romance;6.8;33533.0;TRUE;nm0289656;James Frain;1968;nm0000204;Natalie Portman;1981;19;32;13;(30.0, 35.0];(16.0, 20.0]
436;Return to Me;Return to Me;2000;115;Comedy,Drama,Romance;6.9;20722.0;TRUE;nm0000141;David Duchovny;1960;nm0000378;Minnie Driver;1970;30;40;10;(35.0, 40.0];(25.0, 30.0]
425;Cast Away;Cast Away;2000;143;Adventure,Drama,Romance;7.8;564618.0;TRUE;nm0000158;Tom Hanks;1956;nm0000166;Helen Hunt;1963;37;44;7;(40.0, 45.0];(35.0, 40.0]
427;What Women Want;What Women Want;2000;127;Comedy,Fantasy,Romance;6.4;202905.0;TRUE;nm0000154;Mel Gibson;1956;nm0000166;Helen Hunt;1963;37;44;7;(40.0, 45.0];(35.0, 40.0]
424;Keeping the Faith;Keeping the Faith;2000;128;Comedy,Drama,Romance;6.4;51378.0;TRUE;nm0001774;Ben Stiller;1965;nm0001184;Jenna Elfman;1971;29;35;6;(30.0, 35.0];(25.0, 30.0]
423;Nutty Professor II: The Klumps;Nutty Professor II: The Klumps;2000;106;Comedy,Romance,Sci-Fi;4.4;50339.0;TRUE;nm0000552;Eddie Murphy;1961;nm0001390;Janet Jackson;1966;34;39;5;(35.0, 40.0];(30.0, 35.0]
